"kode","nama","lat","lng","kode_provinsi"
"33.28",Kabupaten Tegal,-7.028775498372325,109.15851536345737,"33"
"33.29",Kabupaten Brebes,-7.06277205117945,108.92952648130553,"33"
"33.71",Kota Magelang,-7.476554510351185,110.2201113973988,"33"
"33.72",Kota Surakarta,-7.557893978396063,110.82314485261672,"33"
"33.73",Kota Salatiga,-7.337677561574648,110.49837382368315,"33"
"33.74",Kota Semarang,-7.023898605392694,110.3915226316209,"33"
"33.75",Kota Pekalongan,-6.893408682233895,109.67715508609544,"33"
"33.76",Kota Tegal,-6.86917455895336,109.11574708742589,"33"
"34.01",Kabupaten Kulon Progo,-7.818708973161017,110.16711452957185,"34"
"34.02",Kabupaten Bantul,-7.901333454949657,110.35488149436632,"34"
"34.03",Kabupaten Gunungkidul,-7.9939102537875755,110.611797527351,"34"
"34.04",Kabupaten Sleman,-7.716463527037873,110.38321299281007,"34"
"34.71",Kota Yogyakarta,-7.803297519308451,110.37435793496881,"34"
"35.01",Kabupaten Pacitan,-8.124952119730581,111.1780856391636,"35"
"35.02",Kabupaten Ponorogo,-7.931327949447231,111.4995304316846,"35"
"35.03",Kabupaten Trenggalek,-8.160655712373636,111.62732146474757,"35"
"35.04",Kabupaten Tulungagung,-8.113471029366075,111.88772275127678,"35"
"35.05",Kabupaten Blitar,-8.131008442675247,112.23722109650977,"35"
"35.06",Kabupaten Kediri,-7.828693403789815,112.08922074799715,"35"
"35.07",Kabupaten Malang,-8.125916993732273,112.64091218224341,"35"
"35.08",Kabupaten Lumajang,-8.125443593037627,113.1384962451385,"35"
"35.09",Kabupaten Jember,-8.23513638687671,113.6559519968585,"35"
"35.10",Kabupaten Banyuwangi,-8.364660048320326,114.20589727388659,"35"
"35.11",Kabupaten Bondowoso,-7.943685821878538,113.9476982116547,"35"
"35.12",Kabupaten Situbondo,-7.801438530042718,114.05136405329577,"35"
"35.13",Kabupaten Probolinggo,-7.866411109808781,113.32023406480856,"35"
"35.14",Kabupaten Pasuruan,-7.742430912511771,112.8318441016922,"35"
"35.15",Kabupaten Sidoarjo,-7.451472833864771,112.70030279079559,"35"
"35.16",Kabupaten Mojokerto,-7.5506917534365625,112.48443825629958,"35"
"35.17",Kabupaten Jombang,-7.544634889859412,112.26408497780137,"35"
"35.18",Kabupaten Nganjuk,-7.597495579235766,111.9385462072378,"35"
"35.19",Kabupaten Madiun,-7.623615892933428,111.64585875830551,"35"
"35.20",Kabupaten Magetan,-7.663380036623219,111.35743424446322,"35"
"35.21",Kabupaten Ngawi,-7.438824403789792,111.34341383304817,"35"
"35.22",Kabupaten Bojonegoro,-7.255575904171538,111.80986997600675,"35"
"35.23",Kabupaten Tuban,-6.9534129686812065,111.89224221212113,"35"
"35.24",Kabupaten Lamongan,-7.131410514989188,112.30074592146252,"35"
"35.25",Kabupaten Gresik,-6.926256532331929,112.55864603414607,"35"
"35.26",Kabupaten Bangkalan,-7.044336159120006,112.92953638360994,"35"
"35.27",Kabupaten Sampang,-7.052024464132133,113.25634302531333,"35"
"35.28",Kabupaten Pamekasan,-7.065223893199625,113.5040466553042,"35"
"35.29",Kabupaten Sumenep,-6.966307060923299,114.40313360696307,"35"
"35.71",Kota Kediri,-7.826370090103971,112.01612339924802,"35"
"35.72",Kota Blitar,-8.094766713715375,112.16697121377153,"35"
"35.73",Kota Malang,-7.978300291719902,112.63590685472691,"35"
"35.74",Kota Probolinggo,-7.773810528662421,113.20546894160377,"35"
"35.75",Kota Pasuruan,-7.649572436747946,112.91000464212,"35"
"35.76",Kota Mojokerto,-7.471389237257247,112.43750790606278,"35"
"35.77",Kota Madiun,-7.629454061309314,111.52726721367931,"35"
"35.78",Kota Surabaya,-7.274322819003532,112.72358412445607,"35"
"35.79",Kota Batu,-7.8346737976087795,112.53375557411108,"35"
"36.01",Kabupaten Pandeglang,-6.590233346882594,105.74297025290407,"36"
"36.02",Kabupaten Lebak,-6.64202012285075,106.2124224818975,"36"
"36.03",Kabupaten Tangerang,-6.174464598725415,106.51892886777627,"36"
"36.04",Kabupaten Serang,-6.141738117820271,106.1460756084399,"36"
"36.71",Kota Tangerang,-6.1843711090906055,106.65199394470586,"36"
"36.72",Kota Cilegon,-5.998895625700708,106.01849218045317,"36"
"36.73",Kota Serang,-6.12332358762211,106.1667505708747,"36"
"36.74",Kota Tangerang Selatan,-6.3021200760979115,106.70738498604467,"36"
"51.01",Kabupaten Jembrana,-8.31312268804714,114.68288681224492,"51"
"51.02",Kabupaten Tabanan,-8.430231084613808,115.07827426552363,"51"
"51.03",Kabupaten Badung,-8.582846789330262,115.18838021912511,"51"
"51.04",Kabupaten Gianyar,-8.480973213474085,115.2874850845969,"51"
"51.05",Kabupaten Klungkung,-8.666950263790111,115.49365804125337,"51"
"51.06",Kabupaten Bangli,-8.293123651618542,115.34729260142302,"51"
"51.07",Kabupaten Karangasem,-8.374266195326205,115.52989196239412,"51"
"51.08",Kabupaten Buleleng,-8.200953233765482,114.96090883720582,"51"
"51.71",Kota Denpasar,-8.668356081702875,115.22081629211112,"51"
"52.01",Kabupaten Lombok Barat,-8.665468042936132,116.0934574456719,"52"
"52.02",Kabupaten Lombok Tengah,-8.72214701149353,116.28983887403636,"52"
"52.03",Kabupaten Lombok Timur,-8.532324119332554,116.53081208389017,"52"
"52.04",Kabupaten Sumbawa,-8.703298122597804,117.48426111079142,"52"
"52.05",Kabupaten Dompu,-8.472224492886417,118.21686473283386,"52"
"52.06",Kabupaten Bima,-8.474806634490488,118.61901683987931,"52"
"52.07",Kabupaten Sumbawa Barat,-8.830288146953638,116.91442832769782,"52"
"52.08",Kabupaten Lombok Utara,-8.348893738948336,116.28292084053918,"52"
"52.71",Kota Mataram,-8.590154382224897,116.11095859047046,"52"
"52.72",Kota Bima,-8.454868239344206,118.78210646272291,"52"
"53.01",Kabupaten Kupang,-9.91608621677014,123.86145044415542,"53"
"53.02",Kabupaten Timor Tengah Selatan,-9.829235491223097,124.39709152941671,"53"
"53.03",Kabupaten Timor Tengah Utara,-9.377866610519083,124.56921631425968,"53"
"53.04",Kabupaten Belu,-9.155098413389897,124.96742242230712,"53"
"53.05",Kabupaten Alor,-8.303915014674587,124.56844814765837,"53"
"53.06",Kabupaten Flores Timur,-8.365129999424317,122.94448301607842,"53"
"53.07",Kabupaten Sikka,-8.609344971709035,122.306654974676,"53"
"53.08",Kabupaten Ende,-8.676355693519394,121.73544304526368,"53"
"53.09",Kabupaten Ngada,-8.664544007349,121.00156828857828,"53"
"53.10",Kabupaten Manggarai,-8.568809462339917,120.40106921539837,"53"
"53.11",Kabupaten Sumba Timur,-9.877804207779791,120.2547683848084,"53"
"53.12",Kabupaten Sumba Barat,-9.641422259331291,119.3833826777653,"53"
"53.13",Kabupaten Lembata,-8.381171613765762,123.54081786348164,"53"
"53.14",Kabupaten Rote Ndao,-10.725959995065217,123.12444836806907,"53"
"53.15",Kabupaten Manggarai Barat,-8.60271673193086,119.98854525873647,"53"
"53.16",Kabupaten Nagekeo,-8.68973640750257,121.27320368591111,"53"
"53.17",Kabupaten Sumba Tengah,-9.543165016266101,119.66865013952577,"53"
"53.18",Kabupaten Sumba Barat Daya,-9.534148748186425,119.17734222577997,"53"
"53.19",Kabupaten Manggarai Timur,-8.572788876505832,120.68930688807022,"53"
"53.20",Kabupaten Sabu Raijua,-10.535687374038487,121.84446825694981,"53"
"53.21",Kabupaten Malaka,-9.524259235578747,124.88844674206781,"53"
"53.71",Kota Kupang,-10.204506383995435,123.60454402769143,"53"
"61.01",Kabupaten Sambas,1.4230857823487124,109.34956822007936,"61"
"61.02",Kabupaten Mempawah,0.35177711745461443,109.15419102762336,"61"
"61.03",Kabupaten Sanggau,0.26868109656721084,110.43072660296725,"61"
"61.04",Kabupaten Ketapang,-1.632936277348147,110.60543693031319,"61"
"61.05",Kabupaten Sintang,0.09259557504131383,112.05439324661614,"61"
"61.06",Kabupaten Kapuas Hulu,0.8256013629435552,112.80355038457326,"61"
"61.07",Kabupaten Bengkayang,1.0119529327335561,109.57839986717872,"61"
"61.08",Kabupaten Landak,0.5076819153096951,109.76407733028154,"61"
"61.09",Kabupaten Sekadau,-0.01713673939063842,110.9489264982842,"61"
"61.10",Kabupaten Melawi,-0.6304366772343024,111.7245970579792,"61"
"61.11",Kabupaten Kayong Utara,-1.1044317344796102,109.875360189189,"61"
"61.12",Kabupaten Kubu Raya,-0.39182681946736114,109.540374395073,"61"
"61.71",Kota Pontianak,-0.025780638413533955,109.3316974690969,"61"
"61.72",Kota Singkawang,0.8866504290802595,109.03227743444673,"61"
"62.01",Kabupaten Kotawaringin Barat,-2.5721683851678607,111.77416564275947,"62"
"62.02",Kabupaten Kotawaringin Timur,-2.0858136187846665,112.71518831453749,"62"
"62.03",Kabupaten Kapuas,-1.7633755450583595,114.3027283555589,"62"
"62.04",Kabupaten Barito Selatan,-1.774328008842425,114.91107759092297,"62"
"62.05",Kabupaten Barito Utara,-0.9283801974030739,115.13762095229056,"62"
"62.06",Kabupaten Katingan,-1.6858743275561845,113.07082915071172,"62"
"62.07",Kabupaten Seruyan,-2.257238224208013,112.19865002889901,"62"
"62.08",Kabupaten Sukamara,-2.604348754025812,111.15957390977695,"62"
"62.09",Kabupaten Lamandau,-1.7713846569869693,111.41784811878006,"62"
"62.10",Kabupaten Gunung Mas,-1.0251023761625409,113.558773173565,"62"
"62.11",Kabupaten Pulang Pisau,-2.6908594381064606,113.96757574005372,"62"
"62.12",Kabupaten Murung Raya,-0.03178679507518384,114.26232837269657,"62"
"62.13",Kabupaten Barito Timur,-1.9823283309237707,115.14395498149636,"62"
"62.71",Kota Palangkaraya,-2.0074642796321776,113.76747426266772,"62"
"63.01",Kabupaten Tanah Laut,-3.8192252913431495,114.90532554996983,"63"
"63.02",Kabupaten Kotabaru,-2.9847146871995758,116.06317722619141,"63"
"63.03",Kabupaten Banjar,-3.3204891607980764,115.07991110674344,"63"
"63.04",Kabupaten Barito Kuala,-3.091203780019246,114.6302205750246,"63"
"63.05",Kabupaten Tapin,-2.921620499819032,115.04512934910362,"63"
"63.06",Kabupaten Hulu Sungai Selatan,-2.729216762845836,115.20550739193718,"63"
"63.07",Kabupaten Hulu Sungai Tengah,-2.6093699170403744,115.47865770818876,"63"
"63.08",Kabupaten Hulu Sungai Utara,-2.439262035309605,115.15127089150965,"63"
"63.09",Kabupaten Tabalong,-1.8619462509771103,115.50006464867957,"63"
"63.10",Kabupaten Tanah Bumbu,-3.4397127507935026,115.64713995780428,"63"
"63.11",Kabupaten Balangan,-2.317834291924158,115.62277318471531,"63"
"63.71",Kota Banjarmasin,-3.3291214795874744,114.59179868497856,"63"
"63.72",Kota Banjarbaru,-3.4747673377541806,114.79117548120564,"63"
"64.01",Kabupaten Paser,-1.736732365133383,116.092737579172,"64"
"64.02",Kabupaten Kutai Kartanegara,0.10796263794609533,116.48011669874397,"64"
"64.03",Kabupaten Berau,1.9124951080426698,117.34017280975961,"64"
"64.07",Kabupaten Kutai Barat,-0.5026699965636786,115.82421646569912,"64"
"64.08",Kabupaten Kutai Timur,0.9898708017786247,117.12915342706613,"64"
"64.09",Kabupaten Penajam Paser Utara,-1.1571295540332083,116.59035802018774,"64"
"64.11",Kabupaten Mahakam Ulu,0.7318065487504654,114.83612637599143,"64"
"64.71",Kota Balikpapan,-1.1566657989966396,116.87229050894425,"64"
"64.72",Kota Samarinda,-0.5002797263843236,117.17706345409533,"64"
"64.74",Kota Bontang,0.09326488031832886,117.45806814325567,"64"
"65.01",Kabupaten Bulungan,2.79748207893874,117.03198421071075,"65"
"65.02",Kabupaten Malinau,2.5129735296381583,115.73544145508232,"65"
"65.03",Kabupaten Nunukan,4.009177924112818,116.64285776284274,"65"
"65.04",Kabupaten Tana Tidung,3.5704781391655227,117.15773007640406,"65"
"65.71",Kota Tarakan,3.359405466080686,117.59951145618294,"65"
"71.01",Kabupaten Bolaang Mongondow,0.7075405205273179,124.03855699610745,"71"
"71.02",Kabupaten Minahasa,1.25003051413795,124.85811263763235,"71"
"71.03",Kabupaten Kepulauan Sangihe,3.5526798785622797,125.54098144610924,"71"
"71.04",Kabupaten Kepulauan Talaud,4.225723242057231,126.78107586639568,"71"
"71.05",Kabupaten Minahasa Selatan,1.0849712837908632,124.51890029185276,"71"
"71.06",Kabupaten Minahasa Utara,1.5480922268033896,125.005294661342,"71"
"71.07",Kabupaten Minahasa Tenggara,1.0121994191861103,124.71665253724602,"71"
"71.08",Kabupaten Bolaang Mongondow Utara,0.7676395914471168,123.47646833626419,"71"
"71.09",Kabupaten Kep. Siau Tagulandang Biaro,2.5391175631809526,125.3969356819243,"71"
"71.10",Kabupaten Bolaang Mongondow Timur,0.7160219173933094,124.50988671379818,"71"
"71.11",Kabupaten Bolaang Mongondow Selatan,0.4431072320051208,123.92826282447413,"71"
"71.71",Kota Manado,1.5249208884876757,124.84790009537748,"71"
"71.72",Kota Bitung,1.4898111811434278,125.15797427808614,"71"
"71.73",Kota Tomohon,1.330532103129189,124.81504660778879,"71"
"71.74",Kota Kotamobagu,0.7110773575760976,124.31830775993886,"71"
"72.01",Kabupaten Banggai,-1.0184811008019043,122.58830932376671,"72"
"72.02",Kabupaten Poso,-1.678376089576801,120.53372247240549,"72"
"72.03",Kabupaten Donggala,-0.43602941963239045,119.83065330659295,"72"
"72.04",Kabupaten Toli-Toli,0.927327850775263,120.73000374655258,"72"
"72.05",Kabupaten Buol,0.9788792732865769,121.38845045785081,"72"
"72.06",Kabupaten Morowali,-2.715939523837165,121.92366902426565,"72"
"72.07",Kabupaten Banggai Kepulauan,-1.371799285402194,123.14329240759926,"72"
"72.08",Kabupaten Parigi Moutong,0.016925634825459886,120.44905763439037,"72"
"72.09",Kabupaten Tojo Una Una,-1.1241027093772553,121.57245868318728,"72"
"72.10",Kabupaten Sigi,-1.4087312705475525,119.97422667493507,"72"
"72.11",Kabupaten Banggai Laut,-1.78011573897806,123.52946569408243,"72"
"72.12",Kabupaten Morowali Utara,-1.8270220586774135,121.39605853455588,"72"
"72.71",Kota Palu,-0.8369318137915286,119.91196584312895,"72"
"73.01",Kabupaten Kepulauan Selayar,-6.55789406017426,120.71787979061727,"73"
"73.02",Kabupaten Bulukumba,-5.43145040240935,120.23432620358022,"73"
"73.03",Kabupaten Bantaeng,-5.490181034353774,119.98736459322907,"73"
"73.04",Kabupaten Jeneponto,-5.567027149888587,119.69887994925473,"73"
"73.05",Kabupaten Takalar,-5.418454518894519,119.47414660010823,"73"
"73.06",Kabupaten Gowa,-5.308904454522386,119.71872022687438,"73"
"73.07",Kabupaten Sinjai,-5.209283365946931,120.13541509179171,"73"
"73.08",Kabupaten Bone,-4.694987934538423,120.13005213977289,"73"
"73.09",Kabupaten Maros,-4.9996246996889075,119.72628670335565,"73"
"73.10",Kabupaten Pangkajene dan Kepulauan,-4.938544568684989,119.47958974336662,"73"
"73.11",Kabupaten Barru,-4.439995747432739,119.69484668463267,"73"
"73.12",Kabupaten Soppeng,-4.337042412503776,119.89337873636721,"73"
"73.13",Kabupaten Wajo,-3.991826295113855,120.17283503987849,"73"
